transaction_item_id,order_id,customer_id,restaurant_name,meal_name,category,rating,review_text,sentiment_label,delivery_time,food_preparation_time,cost_of_the_order,order_date
TI000001,ORD00001,C0063,Pizza Palace,Margherita Pizza,Main,5.0,Perfect meal for a cozy evening at home.,positive,28.0,33.0,11.18,2024-04-24
TI000002,ORD00001,C0063,Pizza Palace,Pepsi,Drink,5.0,Perfect meal for a cozy evening at home.,positive,28.0,33.0,11.18,2024-04-24
TI000003,ORD00002,C0008,Pizza Palace,Pepperoni Pizza,Main,,"Cold food and extremely late delivery, very unhappy.",negative,33.0,17.0,17.98,2024-02-17
TI000004,ORD00002,C0008,Pizza Palace,Caesar Salad,Side,1.0,"Cold food and extremely late delivery, very unhappy.",negative,33.0,17.0,17.98,2024-02-17
TI000005,ORD00002,C0008,Pizza Palace,Pepsi,Drink,1.0,,negative,33.0,17.0,17.98,2024-02-17
TI000006,ORD00003,C0072,Noodle Nest,Pad Thai,Main,4.0,Quick delivery and the food tasted fantastic!,positive,68.0,35.0,16.3,2024-01-04
TI000007,ORD00003,C0072,Noodle Nest,Dumpling,Side,4.0,Quick delivery and the food tasted fantastic!,positive,68.0,35.0,16.3,2024-01-04
TI000008,ORD00004,C0087,Sushi Spot,Tuna Roll,Main,5.0,"Excellent taste and fast delivery, very satisfied!",positive,25.0,22.0,16.66,2024-02-22
TI000009,ORD00004,C0087,Sushi Spot,Edamame,Side,5.0,"Excellent taste and fast delivery, very satisfied!",positive,25.0,22.0,16.66,2024-02-22
TI000010,ORD00004,C0087,Sushi Spot,Miso Soup,Side,5.0,"Excellent taste and fast delivery, very satisfied!",positive,25.0,22.0,16.66,2024-02-22
TI000011,ORD00005,C0138,Wrap World,Chicken Wrap,Main,5.0,"Excellent taste and fast delivery, very satisfied!",positive,44.0,12.0,13.07,2024-03-04
TI000012,ORD00005,C0138,Wrap World,Fries,Side,5.0,"Excellent taste and fast delivery, very satisfied!",positive,44.0,12.0,13.07,2024-03-04
TI000013,ORD00005,C0138,Wrap World,Lemonade,Drink,5.0,"Excellent taste and fast delivery, very satisfied!",,44.0,12.0,13.07,2024-03-04
TI000014,ORD00006,C0012,Taco Town,Fish Taco,Main,2.0,"Cold food and extremely late delivery, very unhappy.",negative,34.0,34.0,15.04,2024-12-04
TI000015,ORD00006,C0012,Taco Town,Guacamole,Side,2.0,"Cold food and extremely late delivery, very unhappy.",negative,34.0,34.0,15.04,2024-12-04
TI000016,ORD00006,C0012,Taco Town,Horchata,Drink,2.0,"Cold food and extremely late delivery, very unhappy.",negative,34.0,34.0,15.04,2024-12-04
TI000017,ORD00006,C0012,Taco Town,Beef Taco,Main,,"Cold food and extremely late delivery, very unhappy.",negative,34.0,34.0,15.04,2024-12-04
TI000018,ORD00007,C0094,Pizza Palace,Margherita Pizza,Main,3.0,"Typical food, delivery was on schedule.",neutral,43.0,21.0,13.89,2024-03-24
TI000019,ORD00007,C0094,Pizza Palace,Garlic Bread,Side,3.0,"Typical food, delivery was on schedule.",neutral,43.0,21.0,13.89,2024-03-24
TI000020,ORD00007,C0094,Pizza Palace,Pepsi,Drink,3.0,"Typical food, delivery was on schedule.",neutral,43.0,21.0,13.89,2024-03-24
TI000021,ORD00008,C0137,Pizza Palace,Pepperoni Pizza,Main,5.0,"Fresh ingredients and great presentation, loved it.",positive,30.0,24.0,17.73,2024-05-05
TI000022,ORD00008,C0137,Pizza Palace,Caesar Salad,Side,5.0,"Fresh ingredients and great presentation, loved it.",positive,30.0,24.0,17.73,2024-05-05
TI000023,ORD00008,C0137,Pizza Palace,Pepsi,Drink,5.0,"Fresh ingredients and great presentation, loved it.",positive,30.0,24.0,17.73,2024-05-05
TI000024,ORD00009,C0015,Pasta Point,Fettuccine Alfredo,Main,4.0,"Best meal I've had in a long time, highly recommend!",positive,72.0,11.0,16.08,2024-04-27
TI000025,ORD00009,C0015,Pasta Point,Garlic Bread,Side,4.0,"Best meal I've had in a long time, highly recommend!",positive,72.0,11.0,16.08,2024-04-27
TI000026,ORD00009,C0015,Pasta Point,Coke,Drink,4.0,"Best meal I've had in a long time, highly recommend!",positive,,11.0,16.08,2024-04-27
TI000027,ORD00010,C0081,Pasta Point,Penne Arrabiata,Main,5.0,"Outstanding food, the whole family enjoyed it.",positive,61.0,25.0,12.77,2024-04-18
TI000028,ORD00010,C0081,Pasta Point,Garlic Bread,Side,5.0,"Outstanding food, the whole family enjoyed it.",positive,,25.0,12.77,2024-04-18
TI000029,ORD00011,C0144,Sushi Spot,Dragon Roll,Main,5.0,"Loved every bite, the quality is consistently excellent.",positive,36.0,33.0,19.64,2024-10-02
TI000030,ORD00011,C0144,Sushi Spot,Miso Soup,Side,5.0,"Loved every bite, the quality is consistently excellent.",positive,36.0,33.0,19.64,2024-10-02
TI000031,ORD00011,C0144,Sushi Spot,Edamame,Side,5.0,"Loved every bite, the quality is consistently excellent.",,36.0,33.0,19.64,2024-10-02
TI000032,ORD00012,C0036,Taco Town,Chicken Taco,Main,5.0,,positive,51.0,12.0,10.98,2024-09-17
TI000033,ORD00012,C0036,Taco Town,Guacamole,Side,5.0,"The food arrived hot and fresh, exceeded my expectations.",positive,51.0,12.0,10.98,2024-09-17
TI000034,ORD00012,C0036,Taco Town,Horchata,Drink,5.0,"The food arrived hot and fresh, exceeded my expectations.",positive,51.0,12.0,10.98,2024-09-17
TI000035,ORD00013,C0099,Sushi Spot,Shrimp Tempura,Side,5.0,Highly satisfied with the taste and delivery speed.,positive,58.0,24.0,26.03,2024-07-14
TI000036,ORD00013,C0099,Sushi Spot,Salmon Sushi,Main,5.0,Highly satisfied with the taste and delivery speed.,positive,58.0,24.0,26.03,2024-07-14
TI000037,ORD00013,C0099,Sushi Spot,Green Salad,Side,5.0,Highly satisfied with the taste and delivery speed.,positive,58.0,24.0,26.03,2024-07-14
TI000038,ORD00014,C0138,Burger Barn,Double Burger,Main,3.0,"It was fine, delivery was a little late though.",neutral,69.0,30.0,11.66,2024-05-16
TI000039,ORD00014,C0138,Burger Barn,Fries,Side,3.0,"It was fine, delivery was a little late though.",neutral,69.0,30.0,11.66,2024-05-16
TI000040,ORD00015,C0068,Salad Station,Greek Salad,Side,2.0,Terrible! Food smelled off and delivery was over an hour late.,negative,68.0,15.0,10.5,2024-09-13
TI000041,ORD00015,C0068,Salad Station,Smoothie,Drink,2.0,Terrible! Food smelled off and delivery was over an hour late.,negative,68.0,15.0,10.5,2024-09-13
TI000042,ORD00016,C0040,Wrap World,Falafel Wrap,Main,5.0,Perfect meal for a cozy evening at home.,positive,68.0,15.0,10.56,2024-07-10
TI000043,ORD00016,C0040,Wrap World,Fries,Side,5.0,Perfect meal for a cozy evening at home.,positive,68.0,15.0,10.56,2024-07-10
TI000044,ORD00017,C0005,Burger Barn,Burger,Main,2.0,"The worst delivery experience, food was inedible.",negative,43.0,35.0,10.1,2024-02-27
TI000045,ORD00017,C0005,Burger Barn,Onion Rings,Side,2.0,"The worst delivery experience, food was inedible.",negative,43.0,35.0,10.1,2024-02-27
TI000046,ORD00018,C0018,Pizza Palace,Margherita Pizza,Main,4.0,Perfect meal for a cozy evening at home.,positive,69.0,,11.24,2024-09-29
TI000047,ORD00018,C0018,Pizza Palace,Pepsi,Drink,4.0,Perfect meal for a cozy evening at home.,positive,69.0,14.0,11.24,2024-09-29
TI000048,ORD00019,C0109,Sushi Spot,Dragon Roll,Main,,"Decent food, portions could be a bit larger.",neutral,54.0,34.0,17.44,2024-04-18
TI000049,ORD00019,C0109,Sushi Spot,Miso Soup,Side,3.0,"Decent food, portions could be a bit larger.",neutral,54.0,34.0,17.44,2024-04-18
TI000050,ORD00020,C0133,Noodle Nest,Udon,Main,4.0,"Excellent taste and fast delivery, very satisfied!",positive,27.0,17.0,17.42,2024-08-19
TI000051,ORD00020,C0133,Noodle Nest,Spring Rolls,Side,4.0,"Excellent taste and fast delivery, very satisfied!",positive,27.0,17.0,17.42,2024-08-19
TI000052,ORD00020,C0133,Noodle Nest,Jasmine Tea,Drink,4.0,"Excellent taste and fast delivery, very satisfied!",positive,27.0,17.0,17.42,2024-08-19
TI000053,ORD00021,C0019,Pasta Point,Penne Arrabiata,Main,5.0,Highly satisfied with the taste and delivery speed.,positive,60.0,11.0,12.44,2024-12-28
TI000054,ORD00021,C0019,Pasta Point,Garlic Bread,Side,5.0,Highly satisfied with the taste and delivery speed.,positive,60.0,11.0,12.44,2024-12-28
TI000055,ORD00022,C0072,Taco Town,Beef Taco,Main,5.0,"Wonderful experience, the food was restaurant-quality.",positive,51.0,16.0,13.05,2024-12-08
TI000056,ORD00022,C0072,Taco Town,Nachos,Side,5.0,"Wonderful experience, the food was restaurant-quality.",positive,51.0,16.0,13.05,2024-12-08
TI000057,ORD00022,C0072,Taco Town,Horchata,Drink,5.0,"Wonderful experience, the food was restaurant-quality.",positive,51.0,16.0,13.05,2024-12-08
TI000058,ORD00023,C0105,Salad Station,Caesar Salad,Side,4.0,"Loved every bite, the quality is consistently excellent.",positive,26.0,13.0,13.3,2024-04-07
TI000059,ORD00023,C0105,Salad Station,Avocado Toast,Main,4.0,"Loved every bite, the quality is consistently excellent.",positive,26.0,13.0,13.3,2024-04-07
TI000060,ORD00024,C0026,Salad Station,Greek Salad,Side,5.0,"Amazing flavors, perfectly seasoned. Five stars!",positive,45.0,33.0,10.16,2024-02-01
TI000061,ORD00024,C0026,Salad Station,Smoothie,Drink,5.0,"Amazing flavors, perfectly seasoned. Five stars!",,45.0,33.0,10.16,2024-02-01
TI000062,ORD00025,C0036,Pasta Point,Penne Arrabiata,Main,5.0,"Best meal I've had in a long time, highly recommend!",positive,31.0,18.0,14.91,2024-08-04
TI000063,ORD00025,C0036,Pasta Point,Tiramisu,Dessert,5.0,"Best meal I've had in a long time, highly recommend!",positive,31.0,18.0,14.91,2024-08-04
TI000064,ORD00026,C0139,Salad Station,Quinoa Bowl,Main,3.0,"Arrived on time, food was mediocre.",neutral,25.0,34.0,14.18,2024-01-08
TI000065,ORD00026,C0139,Salad Station,Green Salad,Side,3.0,"Arrived on time, food was mediocre.",neutral,25.0,,14.18,2024-01-08
TI000066,ORD00027,C0016,Salad Station,Caesar Salad,Side,3.0,"Arrived on time, food was mediocre.",neutral,44.0,10.0,13.95,2024-03-25
TI000067,ORD00027,C0016,Salad Station,Avocado Toast,Main,3.0,"Arrived on time, food was mediocre.",neutral,44.0,10.0,13.95,2024-03-25
TI000068,ORD00028,C0143,Wrap World,Chicken Wrap,Main,3.0,"Food was okay, nothing too special but decent.",neutral,65.0,25.0,12.28,2024-12-04
TI000069,ORD00028,C0143,Wrap World,Coleslaw,Side,3.0,"Food was okay, nothing too special but decent.",neutral,65.0,25.0,12.28,2024-12-04
TI000070,ORD00028,C0143,Wrap World,Lemonade,Drink,3.0,"Food was okay, nothing too special but decent.",neutral,65.0,25.0,12.28,2024-12-04
TI000071,ORD00029,C0013,Burger Barn,Double Burger,Main,4.0,Absolutely delicious! Will definitely order again.,positive,50.0,26.0,12.82,2024-10-26
TI000072,ORD00029,C0013,Burger Barn,Fries,Side,4.0,Absolutely delicious! Will definitely order again.,positive,50.0,26.0,12.82,2024-10-26
TI000073,ORD00030,C0061,Pizza Palace,Pepperoni Pizza,Main,4.0,"Excellent taste and fast delivery, very satisfied!",positive,27.0,28.0,23.95,2024-07-25
TI000074,ORD00030,C0061,Pizza Palace,Pepsi,Drink,4.0,"Excellent taste and fast delivery, very satisfied!",positive,27.0,28.0,23.95,2024-07-25
TI000075,ORD00030,C0061,Pizza Palace,Garlic Bread,Side,4.0,"Excellent taste and fast delivery, very satisfied!",positive,27.0,28.0,23.95,2024-07-25
TI000076,ORD00030,C0061,Pizza Palace,Margherita Pizza,Main,,"Excellent taste and fast delivery, very satisfied!",positive,,28.0,23.95,2024-07-25
TI000077,ORD00031,C0145,Pizza Palace,Margherita Pizza,Main,5.0,"Amazing flavors, perfectly seasoned. Five stars!",positive,40.0,18.0,13.88,2024-09-24
TI000078,ORD00031,C0145,Pizza Palace,Garlic Bread,Side,,"Amazing flavors, perfectly seasoned. Five stars!",positive,40.0,18.0,13.88,2024-09-24
TI000079,ORD00031,C0145,Pizza Palace,Pepsi,Drink,5.0,"Amazing flavors, perfectly seasoned. Five stars!",,40.0,18.0,13.88,2024-09-24
TI000080,ORD00032,C0077,Wrap World,Chicken Wrap,Main,1.0,"The worst delivery experience, food was inedible.",negative,40.0,34.0,13.84,2024-08-22
TI000081,ORD00032,C0077,Wrap World,Coleslaw,Side,1.0,"The worst delivery experience, food was inedible.",negative,40.0,34.0,13.84,2024-08-22
TI000082,ORD00032,C0077,Wrap World,Lemonade,Drink,1.0,"The worst delivery experience, food was inedible.",negative,40.0,34.0,13.84,2024-08-22
TI000083,ORD00033,C0130,Pizza Palace,Margherita Pizza,Main,5.0,Great portion size and incredibly tasty.,positive,28.0,21.0,12.74,2024-05-15
TI000084,ORD00033,C0130,Pizza Palace,Pepsi,Drink,5.0,Great portion size and incredibly tasty.,positive,28.0,21.0,12.74,2024-05-15
TI000085,ORD00034,C0140,Wrap World,Falafel Wrap,Main,5.0,Perfect meal for a cozy evening at home.,positive,39.0,,11.45,2024-12-26
TI000086,ORD00034,C0140,Wrap World,Coleslaw,Side,5.0,Perfect meal for a cozy evening at home.,positive,39.0,29.0,11.45,2024-12-26
TI000087,ORD00035,C0077,Burger Barn,Double Burger,Main,5.0,,positive,26.0,,11.51,2024-12-05
TI000088,ORD00035,C0077,Burger Barn,Fries,Side,5.0,Superb quality! The meal was warm and delicious.,positive,26.0,,11.51,2024-12-05
TI000089,ORD00036,C0054,Sushi Spot,Dragon Roll,Main,3.0,"Arrived on time, food was mediocre.",neutral,33.0,31.0,17.25,2024-06-24
TI000090,ORD00036,C0054,Sushi Spot,Miso Soup,Side,3.0,,neutral,33.0,31.0,17.25,2024-06-24
